Student_ID,Student_Name,Mathematics,Physics,Chemistry,Computer_Science,English,Statistics,Average,Category
S0024,Eli Kim,78.3,83.5,70.3,80.9,77.2,84.2,79.07,Above Average
S0025,Irene Martinez,55.2,47.2,48.9,64.9,49.6,67.6,55.57,Below Average
S0026,Demi Garcia,71.3,74.7,68.5,74.6,74.0,69.5,72.1,Above Average
S0027,Yara Thompson,84.6,88.1,100,89.1,77.0,86.0,87.47,Above Average
S0028,Mia Clark,60.8,62.9,60.0,57.4,59.2,62.6,60.48,Below Average
S0029,Ethan Mitchell,80.1,93.8,88.2,86.7,82.5,99.4,88.45,Above Average
S0030,Zane Wilson,91.6,78.2,79.9,80.8,92.1,87.7,85.05,Above Average
S0031,Kevin Perez,73.9,64.9,62.1,67.8,72.4,62.8,67.32,Below Average
S0032,Irene Bell,62.5,61.1,54.0,54.4,69.5,67.3,61.47,Below Average
S0033,George Thompson,85.0,84.9,82.0,77.6,87.9,72.9,81.72,Above Average
S0034,Aaron Collins,57.6,67.1,51.8,63.0,82.3,79.2,66.83,Below Average
S0035,Quinn Wilson,78.8,90.8,92.6,89.0,94.3,81.2,87.78,Above Average
S0036,George Carter,50.2,67.8,61.1,53.9,51.4,48.2,55.43,Below Average
S0037,Victor Murphy,100,99.4,100,92.0,85.0,100,96.07,Above Average
S0038,Tom Torres,92.0,92.4,83.8,98.1,88.6,91.7,91.1,Above Average
S0039,Xander Torres,89.3,100,99.9,93.1,87.2,91.8,93.55,Above Average
S0040,Eli Scott,97.4,82.0,89.5,81.6,91.7,96.5,89.78,Above Average
S0041,Liam Ward,68.2,78.0,59.2,55.4,71.8,65.0,66.27,Below Average
S0042,Karen Bailey,60.6,55.5,71.7,65.2,68.6,80.0,66.93,Below Average
S0043,Wendy Lewis,67.8,84.4,94.0,77.2,86.3,94.9,84.1,Above Average
S0044,Wendy Collins,68.7,80.0,84.7,74.8,96.9,83.6,81.45,Above Average
S0045,Quinn Anderson,30.8,52.4,44.5,34.0,53.5,20.7,39.32,Below Average
S0046,Henry King,89.6,82.4,93.7,87.8,71.1,83.6,84.7,Above Average
S0047,Sofia Cook,85.5,93.0,98.3,100,84.6,81.8,90.53,Above Average
S0048,Henry Cook,67.3,54.0,56.1,53.5,56.3,50.0,56.2,Below Average
S0049,Mia Scott,59.3,66.0,61.1,58.6,62.6,69.5,62.85,Below Average
S0050,Noah Green,65.6,52.5,59.4,70.9,58.9,54.6,60.32,Below Average
S0051,Zara Torres,87.7,87.4,85.5,85.2,81.4,100,87.87,Above Average
S0052,Paul Morris,83.0,100,89.9,90.3,99.3,87.3,91.63,Above Average
S0053,Yusuf Martinez,52.6,36.6,42.1,41.9,53.3,55.3,46.97,Below Average
S0054,Glen Bell,97.3,73.8,87.6,81.1,90.8,75.0,84.27,Above Average
S0055,Diana Brown,40.6,50.0,49.9,37.3,49.1,40.4,44.55,Below Average
S0056,Xena Torres,54.5,73.4,74.8,62.9,75.5,63.4,67.42,Below Average
S0057,Karen Morgan,73.8,80.6,65.1,78.1,94.1,74.6,77.72,Above Average
S0058,Chris Martinez,71.5,67.2,64.2,87.4,76.9,75.1,73.72,Above Average
S0059,Yara Rogers,81.3,70.6,80.4,74.0,77.4,80.7,77.4,Above Average
S0060,Yusuf Campbell,63.2,61.1,69.3,54.5,42.7,64.4,59.2,Below Average
S0061,Tina Bell,63.3,57.6,44.0,51.1,38.2,59.9,52.35,Below Average
S0062,Rachel Green,55.8,64.4,56.7,51.2,61.2,48.6,56.32,Below Average
S0063,Holly Thomas,85.5,95.7,80.8,85.0,83.9,72.2,83.85,Above Average
S0064,Liam Brown,82.0,89.6,75.5,84.5,87.1,78.0,82.78,Above Average
S0065,James Richardson,59.1,38.9,54.4,70.6,58.3,52.4,55.62,Below Average
S0066,Priya White,77.0,56.9,77.0,78.0,78.9,79.9,74.62,Above Average
S0067,Ryan Wilson,62.1,60.0,51.3,69.7,73.8,64.2,63.52,Below Average
S0068,Beth Taylor,69.8,65.2,72.9,67.2,57.2,48.0,63.38,Below Average
S0069,Zane Reed,87.3,80.0,71.9,74.9,70.7,71.3,76.02,Above Average
S0070,Zara Phillips,53.6,44.9,45.2,55.5,44.8,51.8,49.3,Below Average
S0071,Demi Scott,71.1,85.5,71.7,80.4,63.4,62.5,72.43,Above Average
S0072,Priya Robinson,66.3,67.7,81.1,70.9,84.6,70.2,73.47,Above Average
S0073,Uma Cox,91.5,71.2,81.4,72.8,62.4,69.2,74.75,Above Average
S0074,Fiona Cox,58.3,70.8,58.8,67.4,60.5,73.1,64.82,Below Average
S0075,Faith Robinson,55.1,60.6,64.0,49.9,64.1,59.0,58.78,Below Average
S0076,Uma Carter,84.2,86.1,83.4,93.5,86.1,97.4,88.45,Above Average
S0077,Xander Nelson,59.2,71.7,61.4,56.3,68.7,59.6,62.82,Below Average
S0078,Vera Jackson,74.9,92.2,91.8,76.4,84.8,92.4,85.42,Above Average
S0079,Rachel Cook,47.6,36.4,42.0,58.2,49.0,50.5,47.28,Below Average
S0080,Uma Roberts,81.5,81.6,86.1,82.0,90.5,75.9,82.93,Above Average
S0081,Xena Carter,74.3,71.6,82.4,62.3,91.0,73.3,75.82,Above Average
S0082,Henry Cooper,100,99.6,85.1,90.2,100,100,95.82,Above Average
S0083,James Lewis,82.9,72.0,76.8,70.7,73.5,81.1,76.17,Above Average
S0084,Holly Baker,57.3,70.6,51.1,64.9,79.3,67.9,65.18,Below Average
S0085,Grace Bell,79.5,71.7,70.2,75.6,77.0,82.9,76.15,Above Average
S0086,Mike Nelson,70.7,77.8,68.9,60.2,60.5,75.7,68.97,Below Average
S0087,Irene Thompson,65.1,66.1,60.1,67.0,80.5,65.5,67.38,Below Average
S0088,Beth Davis,55.3,53.1,46.3,63.4,45.0,48.2,51.88,Below Average
S0089,Henry Adams,53.5,73.8,61.7,61.7,65.1,73.2,64.83,Below Average
S0090,Uma Parker,75.2,78.7,89.9,71.6,57.7,66.2,73.22,Above Average
S0091,Xena Morris,69.4,79.2,73.9,70.2,77.8,74.0,74.08,Above Average
S0092,Bella Edwards,100,78.6,89.9,99.5,96.4,100,94.07,Above Average
S0093,Karen Hall,65.0,55.8,53.2,60.2,57.9,65.3,59.57,Below Average
S0094,Henry Murphy,68.9,82.3,88.5,75.9,68.8,74.6,76.5,Above Average
S0095,Mia Perez,69.2,49.4,49.4,61.9,68.6,66.7,60.87,Below Average
S0096,Tom Carter,81.9,81.2,61.8,62.6,71.9,74.8,72.37,Above Average
S0097,Julia Scott,100,100,93.4,100,100,85.3,96.45,Above Average
S0098,George Reed,70.0,87.2,78.1,71.5,64.7,69.7,73.53,Above Average
S0099,Holly Parker,46.5,51.6,42.5,49.4,39.3,56.1,47.57,Below Average
S0100,Beth Johnson,64.9,72.9,41.0,50.9,61.7,66.6,59.67,Below Average
S0101,Ivan Nelson,71.8,55.0,61.1,61.2,68.1,60.1,62.88,Below Average
S0102,Olivia Cox,57.6,54.9,56.8,44.7,60.2,49.9,54.02,Below Average
S0103,Ryan Bailey,66.2,84.3,86.6,75.8,86.4,97.6,82.82,Above Average
S0104,Chris Kim,45.4,52.7,52.7,46.1,51.5,50.3,49.78,Below Average
S0105,Ethan Bailey,81.3,78.6,71.9,92.0,70.2,87.7,80.28,Above Average
S0106,Uma Edwards,60.3,49.7,64.4,61.4,73.2,67.6,62.77,Below Average
S0107,Holly Clark,91.7,88.6,93.4,81.1,79.8,80.3,85.82,Above Average
S0108,Glen Smith,92.1,82.5,76.3,85.9,84.4,86.2,84.57,Above Average
S0109,Kevin Morris,69.2,88.2,81.6,69.6,69.9,77.7,76.03,Above Average
S0110,Diana Edwards,68.4,74.7,83.0,69.4,78.3,61.5,72.55,Above Average
S0111,Karen Martinez,64.3,51.9,55.7,56.3,64.5,64.7,59.57,Below Average
S0112,Yara Cox,59.5,66.0,56.0,60.8,72.1,65.1,63.25,Below Average
S0113,Carl Stewart,71.4,80.0,60.4,88.1,67.9,70.3,73.02,Above Average
S0114,Glen Clark,50.2,43.6,51.1,44.0,51.5,55.0,49.23,Below Average
S0115,Xena Cook,62.0,76.3,76.7,72.4,72.4,74.5,72.38,Above Average
S0116,Xander Cook,80.9,81.9,65.1,76.3,73.2,82.4,76.63,Above Average
S0117,Faith Young,42.5,48.9,40.6,50.1,37.8,50.6,45.08,Below Average
S0118,Victor Rivera,68.7,67.0,66.6,69.5,61.6,43.5,62.82,Below Average
S0119,Zane Cox,68.7,76.2,74.6,67.3,73.8,70.3,71.82,Above Average
S0120,Laura King,64.5,39.1,60.7,59.8,72.5,58.7,59.22,Below Average
S0121,Julia Walker,76.4,93.1,85.1,85.0,75.7,75.6,81.82,Above Average
S0122,James White,72.5,84.4,89.3,85.2,81.4,82.2,82.5,Above Average
S0123,Ryan Morgan,57.7,56.1,60.3,75.8,59.4,72.6,63.65,Below Average
S0124,James Robinson,65.2,59.2,39.3,64.5,59.9,54.8,57.15,Below Average
S0125,Sofia Young,34.1,35.1,46.4,41.7,44.0,45.3,41.1,Below Average
S0126,Ryan Harris,54.4,52.8,75.2,63.1,61.4,65.4,62.05,Below Average
S0127,Kevin Harris,96.2,92.0,95.9,95.4,85.3,100,94.13,Above Average
S0128,Alice Robinson,95.4,89.1,96.8,97.1,98.0,100,96.07,Above Average
S0129,Bob Thomas,94.4,93.6,100,94.3,95.4,92.6,95.05,Above Average
S0130,Will Martinez,43.6,59.4,53.5,57.0,38.1,56.9,51.42,Below Average
S0131,Carol Cook,61.3,68.2,75.8,79.8,76.4,69.0,71.75,Above Average
S0132,Sofia Kim,56.1,74.7,76.5,75.1,71.3,71.7,70.9,Above Average
S0133,Rachel Evans,54.4,50.1,84.9,53.2,60.2,59.0,60.3,Below Average
S0134,Tom Wilson,75.6,59.4,70.1,55.9,70.5,77.2,68.12,Below Average
S0135,Olivia Scott,72.5,61.9,66.8,54.4,70.3,61.8,64.62,Below Average
S0136,Irene Nelson,90.7,83.1,79.9,78.9,75.9,62.3,78.47,Above Average
S0137,Julia Brown,53.5,56.8,62.4,51.6,68.2,58.8,58.55,Below Average
S0138,Vera Brown,58.5,45.7,41.6,56.3,50.6,59.2,51.98,Below Average
S0139,Grace Allen,72.2,79.3,68.1,83.9,64.0,93.1,76.77,Above Average
S0140,Nina Morris,67.3,67.0,82.0,62.0,67.9,73.5,69.95,Below Average
S0141,Tom Bell,74.8,84.2,68.7,60.6,64.8,75.2,71.38,Above Average
S0142,Will Perez,87.0,93.4,81.1,91.7,82.8,71.6,84.6,Above Average
S0143,Kevin Parker,76.7,81.5,84.7,72.5,69.7,70.5,75.93,Above Average
S0144,Chris Scott,58.3,73.5,66.6,65.8,57.7,72.0,65.65,Below Average
S0145,Fiona Perez,68.1,61.6,76.8,76.9,70.5,71.2,70.85,Above Average
S0146,Quinn Clark,77.9,79.2,78.2,73.4,69.2,86.9,77.47,Above Average
S0147,George Turner,70.3,97.2,89.8,84.4,83.3,96.9,86.98,Above Average
S0148,Kevin Green,49.4,55.0,57.2,62.6,67.7,61.6,58.92,Below Average
S0149,Aaron Evans,57.3,48.7,60.8,61.0,59.5,51.6,56.48,Below Average
S0150,Eli Lewis,74.7,69.2,75.4,71.7,68.3,67.5,71.13,Above Average
S0151,Mia Torres,66.5,85.0,70.8,76.1,76.8,73.6,74.8,Above Average
S0152,Jack Bell,79.6,76.2,90.1,76.0,69.4,81.7,78.83,Above Average
S0153,Laura Baker,46.6,47.0,43.2,52.1,80.7,58.1,54.62,Below Average
S0154,Ethan Baker,74.1,73.3,77.6,79.8,91.8,87.8,80.73,Above Average
S0155,Carol Brown,70.1,51.8,47.9,74.4,71.1,57.4,62.12,Below Average
S0156,Zara Morgan,89.4,77.2,86.8,71.7,78.5,90.7,82.38,Above Average
S0157,Jack Brown,55.6,63.0,31.8,61.1,57.0,63.3,55.3,Below Average
S0158,Chris Perez,71.9,75.9,72.0,81.3,70.5,80.5,75.35,Above Average
S0159,Mike Brown,65.0,79.5,77.7,73.4,70.3,74.3,73.37,Above Average
S0160,Eli Davis,49.4,63.9,59.4,60.5,66.8,52.2,58.7,Below Average
S0161,Zane Thomas,38.0,45.8,55.8,52.4,34.4,41.4,44.63,Below Average
S0162,Will Morris,55.3,50.4,47.7,43.9,59.1,53.0,51.57,Below Average
S0163,James Harris,72.3,74.0,95.4,64.6,66.4,63.1,72.63,Above Average
S0164,Ivan Richardson,57.4,48.4,49.5,44.2,50.2,50.8,50.08,Below Average
S0165,Jack Taylor,90.9,67.5,67.6,79.3,77.4,71.4,75.68,Above Average
S0166,Chris Evans,83.5,99.4,77.0,89.5,81.1,100,88.42,Above Average
S0167,Ethan Torres,71.3,99.7,70.3,71.5,79.4,70.6,77.13,Above Average
S0168,Karen Cooper,85.3,92.3,83.8,80.1,74.3,82.9,83.12,Above Average
S0169,Irene Kim,59.2,70.9,70.9,73.2,75.9,53.5,67.27,Below Average
S0170,Frank Peterson,71.6,78.7,69.0,71.6,79.0,73.2,73.85,Above Average
S0171,Paul King,83.4,100,86.9,89.8,73.8,84.7,86.43,Above Average
S0172,Sam Peterson,71.6,54.9,73.7,75.3,64.9,66.0,67.73,Below Average
S0173,Frank Smith,86.3,58.9,67.3,67.3,70.5,69.5,69.97,Below Average
S0174,David Garcia,69.4,88.7,78.1,82.9,90.8,75.8,80.95,Above Average
S0175,Bob Edwards,62.5,68.4,69.8,58.7,59.2,52.9,61.92,Below Average
S0176,Frank Perez,83.8,80.4,71.5,79.3,91.0,80.1,81.02,Above Average
S0177,Yara Howard,57.4,61.3,54.5,69.3,56.7,48.0,57.87,Below Average
S0178,Oscar Kim,89.9,75.2,86.9,90.2,74.1,84.0,83.38,Above Average
S0179,Liam Richardson,65.6,70.6,63.8,75.5,71.8,75.9,70.53,Above Average
S0180,Sam Jackson,64.0,60.4,76.9,63.8,35.0,56.6,59.45,Below Average
S0181,Quinn White,67.0,63.5,83.1,76.9,66.8,77.6,72.48,Above Average
S0182,Faith Wright,79.4,63.1,63.8,94.2,70.7,80.3,75.25,Above Average
S0183,Irene Rivera,48.9,50.1,47.4,38.7,41.7,43.8,45.1,Below Average
S0184,Frank Walker,65.4,63.2,62.3,64.0,66.3,62.1,63.88,Below Average
S0185,Eli Peterson,69.1,43.0,68.5,49.4,45.4,41.5,52.82,Below Average
S0186,Aaron Morgan,54.8,45.5,70.2,71.9,63.7,61.2,61.22,Below Average
S0187,Eva Garcia,66.5,66.4,81.0,64.5,66.6,81.4,71.07,Above Average
S0188,Xena Martinez,59.6,63.9,59.1,75.3,68.4,72.3,66.43,Below Average
S0189,Will Anderson,60.2,54.4,57.8,59.6,68.8,66.7,61.25,Below Average
S0190,Holly Carter,73.1,75.9,76.2,74.0,65.5,45.0,68.28,Below Average
S0191,Aaron Morris,93.2,91.8,87.1,91.7,96.0,96.6,92.73,Above Average
S0192,Uma Gray,77.2,74.0,75.0,83.0,92.8,77.4,79.9,Above Average
S0193,Paul Bailey,60.9,52.6,56.7,64.8,60.2,62.9,59.68,Below Average
S0194,Vera Nelson,55.5,66.9,70.5,66.3,80.4,67.1,67.78,Below Average
S0195,Chris Adams,60.7,77.3,57.6,64.1,63.4,75.6,66.45,Below Average
S0196,Holly Howard,73.2,70.7,72.1,73.2,63.8,80.6,72.27,Above Average
S0197,Wendy Perez,80.8,90.3,100,86.4,89.0,87.1,88.93,Above Average
S0198,George Collins,95.3,100,92.7,95.7,84.0,75.3,90.5,Above Average
S0199,Carl Gray,45.5,53.8,51.8,44.7,43.2,43.4,47.07,Below Average
S0200,Aiden Evans,49.3,48.1,50.7,50.6,64.2,52.9,52.63,Below Average
S0201,Aaron Rivera,61.8,70.5,69.2,59.4,71.4,71.1,67.23,Below Average
S0202,Uma Howard,85.1,74.9,100,71.0,93.0,93.4,86.23,Above Average
S0203,Julia Kim,74.5,65.7,72.3,71.8,70.1,58.1,68.75,Below Average
S0204,Paul Howard,95.0,74.6,94.7,77.9,84.8,87.4,85.73,Above Average
S0205,George Adams,61.7,80.8,64.5,40.8,61.0,63.3,62.02,Below Average
S0206,David Clark,66.4,83.5,77.8,75.5,67.8,79.4,75.07,Above Average
S0207,Bella Thomas,77.6,87.0,78.7,77.9,92.4,89.8,83.9,Above Average
S0208,Eva King,72.7,86.0,81.9,100,84.6,82.7,84.65,Above Average
S0209,Grace Wright,64.2,40.2,44.6,54.0,55.9,45.5,50.73,Below Average
S0210,Carol Thomas,70.7,59.9,69.5,73.4,77.4,71.3,70.37,Above Average
S0211,Irene Evans,74.3,55.6,56.7,59.1,61.7,57.7,60.85,Below Average
S0212,Kevin Lewis,69.7,71.4,69.3,74.5,65.2,74.6,70.78,Above Average
S0213,Glen Cook,75.6,78.6,80.1,71.8,66.0,78.7,75.13,Above Average
S0214,David Campbell,58.2,69.1,65.4,54.3,57.1,78.1,63.7,Below Average
S0215,Paul White,49.8,58.4,63.3,48.1,59.3,58.0,56.15,Below Average
S0216,Nina Peterson,70.3,88.3,83.8,73.2,75.4,84.4,79.23,Above Average
S0217,Ryan Nelson,60.6,69.9,77.3,57.6,68.0,63.5,66.15,Below Average
S0218,Priya Rivera,49.2,42.7,55.1,58.6,47.7,51.0,50.72,Below Average
S0219,Tina Murphy,75.3,68.1,63.3,59.2,85.2,71.8,70.48,Above Average
S0220,Henry Phillips,59.3,55.8,77.5,61.0,76.7,58.7,64.83,Below Average
S0221,Sam White,79.9,62.6,74.7,67.2,76.7,70.5,71.93,Above Average
S0222,Irene Turner,84.8,82.2,78.3,79.2,86.8,98.1,84.9,Above Average
S0223,Hannah Martin,67.4,58.6,76.0,80.5,77.6,79.6,73.28,Above Average
S0224,Irene Taylor,56.9,82.8,79.1,66.2,78.9,92.1,76.0,Above Average
S0225,Uma Clark,42.2,64.9,61.6,43.5,53.2,72.4,56.3,Below Average
S0226,Liam Scott,65.4,58.4,85.7,48.5,54.3,67.4,63.28,Below Average
S0227,Irene Morgan,93.7,98.8,97.2,94.5,96.4,100,96.77,Above Average
S0228,Priya Roberts,54.4,68.4,77.3,78.0,68.9,85.4,72.07,Above Average
S0229,Victor Taylor,58.5,69.7,68.6,66.5,75.7,67.5,67.75,Below Average
S0230,Nina Cox,59.8,58.8,58.6,68.1,62.1,67.1,62.42,Below Average
S0231,Isla Nelson,73.4,67.6,73.8,68.4,48.1,63.8,65.85,Below Average
S0232,Alice Thompson,83.2,80.1,93.9,91.7,87.4,97.9,89.03,Above Average
S0233,George Gray,79.2,85.3,90.5,92.6,83.4,82.6,85.6,Above Average
S0234,Jack Adams,66.3,55.5,57.7,71.5,56.7,68.2,62.65,Below Average
S0235,Ryan Cooper,79.7,74.3,57.5,81.4,78.1,72.9,73.98,Above Average
S0236,Kevin Wilson,76.7,71.2,56.9,67.0,71.6,73.1,69.42,Below Average
S0237,Hannah Baker,81.7,75.0,76.3,63.5,77.1,68.9,73.75,Above Average
S0238,Diana Phillips,84.5,79.3,80.6,64.1,64.5,85.1,76.35,Above Average
S0239,Will Harris,67.6,67.2,71.2,87.5,68.1,85.7,74.55,Above Average
S0240,Carol Clark,72.2,91.2,85.9,61.7,78.7,77.1,77.8,Above Average
S0241,Glen King,52.3,44.3,48.9,62.5,43.0,57.3,51.38,Below Average
S0242,Henry Anderson,97.6,89.3,100,100,96.5,78.1,93.58,Above Average
S0243,Tina Adams,56.1,50.4,62.1,65.2,72.4,62.0,61.37,Below Average
S0244,Vera Bell,100,100,86.1,100,99.1,97.1,97.05,Above Average
S0245,Noah Martinez,75.8,64.3,67.3,87.1,78.5,69.7,73.78,Above Average
S0246,Noah Bell,78.8,75.0,70.4,76.9,82.3,65.2,74.77,Above Average
S0247,Uma Phillips,50.5,54.4,63.5,64.7,66.6,58.6,59.72,Below Average
S0248,David Turner,97.6,76.7,91.5,76.1,73.6,86.1,83.6,Above Average
S0249,Ryan King,67.5,70.4,76.6,64.8,83.7,59.0,70.33,Above Average
S0250,Tina Cox,72.1,61.9,84.7,70.6,85.9,73.8,74.83,Above Average
S0251,Isla King,77.8,61.4,58.0,74.4,69.5,71.5,68.77,Below Average
S0252,Rachel King,59.3,54.7,67.9,60.6,65.2,51.5,59.87,Below Average
S0253,Julia Harris,50.1,38.0,65.4,66.7,49.8,51.9,53.65,Below Average
S0254,Xena Nelson,81.2,64.3,68.3,62.9,71.1,77.6,70.9,Above Average
S0255,Sam King,57.5,52.3,62.1,61.7,49.0,59.2,56.97,Below Average
S0256,Xena Richardson,51.5,58.7,52.9,56.1,62.5,43.9,54.27,Below Average
S0257,Bob Thompson,53.5,55.7,50.4,58.9,62.4,51.5,55.4,Below Average
S0258,Julia Collins,75.0,65.6,69.0,58.9,66.0,55.2,64.95,Below Average
S0259,Diana Taylor,63.4,77.2,78.5,77.6,86.2,90.8,78.95,Above Average
S0260,Hannah White,71.8,67.5,71.2,67.9,74.5,70.3,70.53,Above Average
S0261,Oscar Martin,80.1,80.0,86.9,88.8,82.5,94.4,85.45,Above Average
S0262,Ryan Carter,71.1,62.3,60.1,62.1,59.6,51.5,61.12,Below Average
S0263,Sam Smith,53.3,36.3,61.4,61.1,69.6,47.6,54.88,Below Average
S0264,Nina Perez,70.5,78.1,71.5,67.5,79.2,68.4,72.53,Above Average
S0265,Paul Rogers,86.8,81.5,65.2,83.2,64.2,81.3,77.03,Above Average
S0266,Julia Nelson,79.5,78.9,83.0,86.8,65.7,84.1,79.67,Above Average
S0267,Kevin Cox,94.3,100,94.3,100,90.0,91.3,94.98,Above Average
S0268,Sofia Gray,66.2,77.9,65.4,63.9,69.0,67.0,68.23,Below Average
S0269,Noah Campbell,97.4,93.7,69.1,82.6,95.5,71.5,84.97,Above Average
S0270,Sofia Torres,54.9,60.5,61.6,48.4,61.3,59.5,57.7,Below Average
S0271,Will Allen,87.0,88.0,77.9,86.5,64.4,73.2,79.5,Above Average
S0272,Rachel Bailey,93.8,84.1,72.8,99.5,73.5,89.5,85.53,Above Average
S0273,Frank Murphy,46.5,55.5,53.0,63.4,66.6,47.5,55.42,Below Average
S0274,Uma Young,58.0,57.8,54.6,64.4,56.8,61.6,58.87,Below Average
S0275,Liam Green,60.7,56.0,58.5,55.4,60.3,51.7,57.1,Below Average
S0276,Yara Johnson,63.8,73.5,80.7,74.6,84.2,53.4,71.7,Above Average
S0277,Karen Morris,70.2,64.3,76.0,75.1,70.5,59.1,69.2,Below Average
S0278,Eva Young,78.5,84.6,71.0,71.0,79.8,82.2,77.85,Above Average
S0279,Tina Johnson,80.0,71.7,72.3,78.8,88.6,88.6,80.0,Above Average
S0280,Mike Thomas,46.8,60.5,47.1,41.6,53.8,57.5,51.22,Below Average
S0281,Will Rogers,35.3,52.3,43.9,48.2,64.7,38.6,47.17,Below Average
S0282,Mia Campbell,97.9,92.8,93.1,91.0,90.1,73.9,89.8,Above Average
S0283,Noah Baker,64.3,92.8,85.2,82.0,67.2,83.0,79.08,Above Average
S0284,Quinn Stewart,84.6,86.7,73.6,85.9,71.2,73.7,79.28,Above Average
S0285,Ivan Mitchell,86.0,91.6,94.6,100,91.0,97.6,93.47,Above Average
S0286,Holly Lee,61.8,60.9,54.6,53.0,49.3,50.4,55.0,Below Average
S0287,Priya Morris,36.4,46.1,65.5,55.9,55.3,55.4,52.43,Below Average
S0288,Julia Campbell,89.4,86.4,85.3,97.9,86.3,80.5,87.63,Above Average
S0289,Jack Allen,85.6,80.7,100,98.7,93.5,84.9,90.57,Above Average
S0290,Victor Adams,63.1,51.5,58.9,63.9,59.4,52.3,58.18,Below Average
S0291,Eva Lewis,93.7,97.4,91.2,100,99.3,100,96.93,Above Average
S0292,Hannah Anderson,56.8,61.3,55.6,67.6,66.9,52.8,60.17,Below Average
S0293,Liam Edwards,58.7,64.1,48.9,57.3,68.0,70.9,61.32,Below Average
S0294,Rachel Bell,68.1,58.6,59.6,65.5,64.8,70.5,64.52,Below Average
S0295,Mia Adams,93.3,64.7,86.9,82.4,92.8,82.4,83.75,Above Average
S0296,Wendy Cox,70.9,77.0,69.1,63.0,85.0,70.5,72.58,Above Average
S0297,Sofia Thomas,74.0,74.3,73.8,73.6,74.7,60.0,71.73,Above Average
S0298,Bella Anderson,53.2,63.9,79.2,54.1,65.3,67.3,63.83,Below Average
S0299,Sam Thomas,95.1,69.2,69.9,89.7,78.1,83.5,80.92,Above Average
S0300,Julia Mitchell,78.4,76.4,70.5,83.8,78.6,84.8,78.75,Above Average
S0301,Kevin Smith,69.0,80.0,75.6,71.1,87.9,61.8,74.23,Above Average
S0302,Fiona Turner,53.3,63.0,62.6,73.7,73.7,63.1,64.9,Below Average
S0303,Xena White,64.2,74.5,81.1,71.8,61.2,73.1,70.98,Above Average
S0304,Carol Baker,95.2,100,100,100,100,100,99.2,Above Average
S0305,Noah Rivera,58.4,77.6,62.2,60.6,75.4,73.8,68.0,Below Average
S0306,Aaron Brown,41.6,46.3,46.5,47.8,57.1,49.7,48.17,Below Average
S0307,Kevin Robinson,83.0,97.7,77.2,94.6,95.8,83.4,88.62,Above Average
S0308,Rachel Howard,67.3,63.9,77.2,77.5,71.6,79.6,72.85,Above Average
S0309,Carl Morris,69.6,59.2,58.5,64.6,69.0,70.6,65.25,Below Average
S0310,Zane Mitchell,52.2,39.9,58.6,46.1,41.7,53.1,48.6,Below Average
S0311,Eli Murphy,72.1,86.2,73.1,70.0,60.3,77.3,73.17,Above Average
S0312,Bella Cooper,61.9,66.6,63.8,54.0,51.3,55.5,58.85,Below Average
S0313,Fiona Bailey,72.0,65.4,63.0,63.8,53.2,73.1,65.08,Below Average
S0314,Alice Green,92.3,100,96.5,97.2,98.7,100,97.45,Above Average
S0315,Rachel Lee,61.8,54.9,79.3,70.9,73.8,62.6,67.22,Below Average
